description,price,size_m2,bedrooms,bathrooms,parking_spaces
"Asa Norte, SRTVN Quadra 701 Conjunto C",220.000,33,-,1,-
"Asa Norte, CLN 314",350.000,"34,59",1,1,-
"Asa Norte, SHN Quadra 2 Bloco F",400.000,"47,93",-,1,-
"Jardins Mangueiral, Quadra QC 15 Rua A",550.000,"131,46",4,3,2
"Jardim Botânico, Condomínio Privê Morada Sul Etapa A",950.000,"290,91",3,3,4
"Setor Habitacional Jardim Botânico, Condomínio Privê Morada Sul Etapa A",950.000,"290,91",3,3,4
"Noroeste, SQNW 307",1.059.000,"73,47",2,2,1
"Asa Norte, SQN 115",1.750.000,"139,63",4,3,2
"Jardim Botânico, Condomínio Ouro Vermelho I",1.820.000,477,3,7,6
"Asa Sul, SQS 102",1.870.000,169,4,3,1
"Jardim Botânico, Condomínio Privê Morada Sul Etapa A",2.700.000,"2.700,39",2,1,-
"Setor Habitacional Jardim Botânico, Condomínio Quintas do Sol",450.000,"670,75",-,-,-
"Jardim Botânico, Condomínio Quintas do Sol",450.000,"670,75",-,-,-
"Asa Sul, SQS 403",759.000,90,3,2,-
"Asa Norte, SQN 415",799.900,"76,72",3,2,-
"Asa Norte, SQN 211",1.550.000,"100,24",3,3,1
"Jardim Botânico, Condomínio Privê Morada Sul Etapa C",1.750.000,272,4,4,2
"Noroeste, SQNW 109",1.850.000,"150,34",3,3,3
"Jardim Botânico, Condomínio Privê Morada Sul Etapa C",1.980.000,500,5,6,2
"Noroeste, SQNW 302",1.997.000,"148,66",2,3,3
"Lago Norte, Condomínio Privê I Quadra 3 Conjunto C",2.130.000,"418,96",3,5,4
"Asa Sul, SQS 109",2.200.000,"130,52",4,4,1
"Asa Sul, SQS 207",2.450.000,"175,15",3,3,1
"Asa Norte, CLN 212 BLOCO A",155.000,"27,31",-,1,-
"Asa Norte, SBN Quadra 2 Bloco J",165.000,33,-,1,-
"Lago Norte, CA 11",180.000,"24,56",-,1,1
"Asa Norte, SCN QUADRA 02 BLOCO D",186.000,"33,08",-,1,-
"Asa Sul, SAUS Quadra 5 Bloco N Lote 2",190.000,"25,15",-,1,-
"Asa Norte, SCN QUADRA 2",218.000,"34,15",-,1,-
"Sudoeste, CCSW 5",265.000,"26,78",-,1,-
"Asa Norte, SCN Quadra 1 Bloco F",280.000,"33,16",-,1,1
"Asa Sul, SEPS 712-912",290.000,"26,14",1,1,1
"Asa Norte, SGAN 911",290.000,"25,84",-,1,1
"Jardins Mangueiral, Quadra QC 14 Rua B",300.000,"58,45",2,1,1
"Jardim Botânico, Condomínio Morada de Deus",320.000,"632,43",-,-,-
"Asa Norte, SHN QUADRA 2",325.000,38,-,-,-
"Jardim Botânico, Condomínio Ouro Vermelho I",350.000,720,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",350.000,720,-,-,-
"Zona Industrial, SGCV Lote 13",380.000,27,1,1,1
"PARK SUL, SGCV Lote 13",380.000,27,1,1,1
"Jardim Botânico, MORADA DE DEUS",380.000,"861,26",-,-,-
"Setor Habitacional Jardim Botânico, MORADA DE DEUS",380.000,"861,26",-,-,-
"Asa Sul, SHS Quadra 6 Conjunto A Bloco D",570.000,"48,64",1,1,-
"Lago Norte, CA 9 (Centro de Atividades)",595.000,"53,32",2,1,1
"Asa Sul, SDS Blocos R",780.000,200,-,2,-
"Jardim Botânico, Condomínio Ouro Vermelho I",800.000,"174,88",2,2,4
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",800.000,"174,88",2,2,4
"Asa Sul, SQS 205",830.000,"64,08",2,2,-
"Park Way, SMPW Quadra 5 Conjunto 14",980.000,180,3,3,4
"Park Way, SMPW QUADRA 22 CONJUNTO 3",1.080.000,2.000,-,-,-
"Sudoeste, QRSW 4 BLOCO A-6",1.090.000,"91,1",2,3,2
Asa Sul,1.090.000,"92,26",3,2,-
"Jardim Botânico, Condomínio Ouro Vermelho I",1.150.000,344,3,5,4
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.150.000,344,3,5,4
"Jardim Botânico, Condomínio Ouro Vermelho I",1.200.000,350,3,4,2
"Jardim Botânico, Condomínio Quintas do Sol",1.300.000,"356,88",2,3,2
"Sudoeste, CCSW 2",1.350.000,"92,3",1,2,1
"Jardim Botânico, Condomínio Quintas Itaipú",1.400.000,272,4,5,2
"Jardim Botânico, Condomínio Ouro Vermelho II",1.500.000,259,4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho II",1.500.000,259,4,5,2
"Asa Sul, SQS 206 Bloco K",1.550.000,125,3,3,1
"Asa Norte, SQN 308",1.590.000,"122,48",3,2,1
"Jardim Botânico, Condomínio Ouro Vermelho I",1.600.000,400,4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.600.000,400,4,5,2
"Jardim Botânico, Condomínio Morada de Deus",1.680.000,"519,74",5,7,4
"Asa Norte, SQN 307",1.690.000,"123,93",3,3,1
"Jardim Botânico, Condomínio Ouro Vermelho I",1.690.000,450,4,6,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.690.000,450,4,6,-
"Asa Sul, SHIGS 708 Bloco M",1.720.000,"102,85",3,3,1
"PARK SUL, SGCV Lote 27",1.780.000,"120,6",3,5,2
"Taquari, Quadra 3",1.895.000,"431,16",3,5,2
"Jardim Botânico, Condomínio Morada de Deus",1.999.000,380,5,7,2
"Asa Sul, SQS 206 Bloco K",2.088.000,"187,39",4,3,1
"Asa Norte, SQN 304",2.190.000,"186,63",3,4,2
"PARK SUL, SGCV (St Garagens e Conces de Veículos)",2.290.000,"178,16",3,2,2
"Noroeste, SQNW 109 Bloco I",2.400.000,"158,5",2,4,3
"Taquari, Quadra 3 Conjunto 2",2.500.000,800,3,3,-
"PARK SUL, SGCV (St Garagens e Conces de Veículos)",2.600.000,"171,99",2,4,3
"Park Way, SMPW QUADRA 3 CONJUNTO 5",2.650.000,2.500,4,4,12
"Jardim Botânico, Condomínio Solar de Brasília",2.790.000,500,6,8,3
"Noroeste, SQNW 110 Bloco J",2.799.000,"197,2",4,6,3
"Lago Sul, Condomínio Lago Sul",3.000.000,500,4,8,3
"Setor Habitacional Jardim Botânico, Condomínio Lago Sul",3.000.000,500,4,8,3
"Park Way, SMPW QUADRA 28 CONJUNTO 1",3.000.000,740,4,5,5
"Park Way, SMPW QUADRA 15",3.190.000,"666,22",5,8,6
"Park Way, SMPW QUADRA 26 CONJUNTO 5",3.500.000,"651,13",5,7,4
"Lago Norte, SMLN MI Trecho 07 Conjunto 5",3.550.000,"483,7",3,6,2
"Park Way, SMPW QUADRA 23",3.599.000,625,4,7,4
"Lago Sul, SHIS QI 23",3.900.000,671,5,8,4
"Jardim Botânico, Condomínio Residencial Mansões Itaipu",4.000.000,635,4,5,5
"Lago Norte, SHIN QI 1",4.150.000,500,4,8,4
"Lago Sul, SHIS QI 28 Conjunto 7",4.500.000,1.200,-,-,-
"Lago Norte, SHIN QL 4",4.700.000,"719,73",5,8,8
"Lago Sul, SHIS QI 5 Chácaras 1 a 6",5.950.000,"618,21",5,8,7
"Park Way, SMPW Quadra 4 Conjunto 3",6.800.000,950,7,10,7
"Lago Norte, SHIN QL 10 Conjunto 1",8.000.000,1.875,-,-,-
"Lago Sul, SHIS QL 2",8.500.000,1.300,5,10,6
"Lago Sul, SHIS QI 26",10.000.000,900,6,10,2
"Jardim Botânico, Condomínio Jardim Botânico V",2.280.000,500,5,9,2
"Park Way, SMPW QUADRA 25 CONJUNTO 1, 0",2.500.000,4.070,10,9,6
"PARK SUL, SGCV (St Garagens e Conces de Veículos)",5.900.000,347,4,6,4
"Jardim Botânico, Condomínio Privê Morada Sul Etapa A",850.000,180,2,2,4
"Jardim Botânico, Condomínio Ouro Vermelho I",430.000,1.000,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",430.000,1.000,-,-,-
"Asa Sul, SBS Quadra 1",115.000,"26,12",-,-,-
"Asa Sul, SEPS 705-905",150.000,"31,49",-,1,1
"Asa Sul, SEPS 714-914",225.000,"25,38",-,-,-
"Asa Sul, SRTVS Bloco K",240.000,"36,1",-,1,1
"Setor Sudoeste, CLSW 104 BLOCO B",300.000,37,1,1,-
"Sudoeste, CLSW 104 BLOCO B",300.000,37,1,1,-
"Asa Norte, SMHN QUADRA 2",310.000,"29,62",-,1,1
"Jardim Botânico, Condomínio Morada de Deus",320.000,"711,37",-,-,-
"Jardim Botânico, Ouro Vermelho II",320.000,1.000,-,-,-
"Asa Norte, SGAN 915",320.000,"31,16",-,1,-
"Jardim Botânico, Condomínio Condomínio Santa Felicidade",420.000,"400,2",-,-,-
"Jardins Mangueiral, Quadra QC 14 Rua E",450.000,"98,62",2,2,2
"Jardim Botânico, Condomínio Condomínio Ecológico Parque do Mirante",450.000,600,-,-,-
"Jardim Botânico, Condominio Residencial Santa Monica - Travessa Véu de Noiva",455.000,"1.051,87",-,-,-
"Jardim Botânico, Condomínio Quintas do Sol",460.000,750,-,-,-
"Jardins Mangueiral, Quadra QC 15 Rua E",475.000,"74,61",2,2,2
"Asa Norte, SRTVN Conjunto C",500.000,"65,8",-,2,-
"Jardim Botânico, Condomínio Morada de Deus",500.000,"599,37",-,-,-
"Noroeste, CRNW 510 Bloco A Lote 2",520.000,"31,04",1,1,1
"Jardins Mangueiral, Quadra QC 4 Rua D",529.000,107,3,3,2
"Jardim Botânico, Quadra QC 4 Rua D",529.000,107,3,3,2
"Jardim Botânico, Condomínio Condomínio Estância Del Rey A235",530.000,"805,51",-,-,-
"Lago Norte, CA 2 (Centro de Atividades)",550.000,58,2,2,1
"Asa Norte, SHCGN 716",550.000,"55,14",2,1,-
"Asa Norte, SQN 410 Bloco N",550.000,45,2,1,-
"Asa Sul, SHS Quadra 6",560.000,"50,05",1,1,-
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",599.000,640,1,1,4
"Jardins Mangueiral, Quadra QC 2 Rua J",620.000,146,3,3,2
"Asa Norte, SHTN Trecho 1",625.000,"37,9",1,1,1
"Lago Norte, CA 9 (Centro de Atividades)",635.000,"46,5",2,2,1
"Jardins Mangueiral, Praça de Atividades 5",640.000,"106,43",-,-,-
"Sudoeste, QRSW 5 BLOCO B-1",650.000,"59,24",2,1,-
"Granja do Torto, Quadra C (Weslian Roriz)",650.000,150,4,1,4
"Jardim Botânico, Condomínio Privê Morada Sul Etapa C",650.000,"708,5",-,-,-
"Asa Sul, SQS 403 Bloco E",679.000,"77,72",3,2,-
"Noroeste, SQNW 310 Bloco C",690.000,40,1,1,1
"Jardim Botânico, Condomínio Residencial Vale das Palmeiras",700.000,132,2,2,2
"Asa Norte, SQN 405 BLOCO O",750.000,"78,75",3,2,-
"Asa Norte, SQN 415 Bloco A",798.000,78,3,2,-
"Vila Planalto, Rua da Praça (Acamp Rabelo)",850.000,180,2,2,1
"Park Way, SMPW QUADRA 29",850.000,2.500,-,-,-
"Jardim Botânico, Condomínio Belvedere Green",890.000,334,3,3,3
"Setor Habitacional Jardim Botânico, Condomínio Belvedere Green",890.000,334,3,3,3
"Noroeste, SQNW 310",920.000,66,1,1,2
"Lago Norte, CA 3 (Centro de Atividades)",920.000,200,2,3,3
"Lago Norte, CA 5 (Centro de Atividades)",923.000,89,1,1,1
"Jardim Botânico, Condomínio Jardim Botânico V",950.000,240,5,5,-
"Taquari, Quadra 3",950.000,800,-,-,-
"Paranoá, Condomínio Residencial Jardins Genebra DF-250, KM 4,5",956.000,"681,33",-,-,-
"Park Way, SMPW QUADRA 26 CONJUNTO 6",959.000,2.500,-,-,-
"Jardim Botânico, Condomínio Ville Montagne",990.000,"141,48",4,3,6
"Jardim Botânico, CONDOMINIO OURO VERMELHO I",990.000,800,7,8,3
"Setor Habitacional Jardim Botânico, CONDOMINIO OURO VERMELHO I",990.000,800,7,8,3
"Jardim Botânico, Condomínio Belvedere Green",995.000,321,4,6,2
Jardim Botânico,1.020.000,435,3,4,3
Setor Habitacional Jardim Botânico,1.020.000,435,3,4,3
"Asa Norte, SHCGN 713 BLOCO H",1.050.000,"90,97",3,2,-
"Jardim Botânico, Condomínio Residencial Mônaco",1.050.000,272,3,3,-
Jardim Botânico,1.050.000,210,4,5,2
Setor Habitacional Jardim Botânico,1.050.000,210,4,5,2
"Jardim Botânico, Condomínio Belvedere Green",1.099.000,600,4,4,2
"Setor Habitacional Jardim Botânico, Condomínio Belvedere Green",1.099.000,600,4,4,2
"Asa Norte, SHCGN 712",1.100.000,"107,86",3,3,-
"Asa Sul, SHIGS 714",1.130.000,"124,78",3,2,-
"Asa Norte, SQN 303 BLOCO H",1.150.000,"75,37",1,2,1
"Noroeste, SQNW 108 Bloco F",1.200.000,83,2,2,2
"Park Way, SMPW QUADRA 18 CONJUNTO 5",1.250.000,2.500,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",1.290.000,270,3,3,4
"Jardim Botânico, Condomínio Mirante das Paineiras",1.290.000,"444,87",3,5,2
"Jardim Botânico, Condomínio Morada de Deus",1.290.000,270,3,3,4
"Jardim Botânico, Condomínio Jardim Botânico VI",1.320.000,377,4,3,2
"Setor Habitacional Jardim Botânico, Condomínio Jardim Botânico VI",1.320.000,377,4,3,2
"Asa Norte, SHTN Trecho 1",1.350.000,"102,2",2,2,2
"Jardim Botânico, Condomínio Ouro Vermelho II",1.350.000,220,3,4,3
"Asa Norte, SQN 112",1.369.000,"131,79",2,2,1
"Jardim Botânico, Condomínio Condomínio Ecológico Parque do Mirante",1.390.000,"287,02",4,5,3
"Noroeste, CLNW 10-11 Lote K",1.390.000,"79,48",-,-,2
"Asa Sul, SQS 311",1.400.000,"114,68",3,3,1
"Park Way, SMPW QUADRA 15 CONJUNTO 3",1.400.000,2.125,-,-,-
"Park Way, SMPW QUADRA 22",1.400.000,"2.121,15",-,-,-
"Jardim Botânico, Condomínio Mini Chácaras do Lago Sul",1.420.000,215,3,-,4
"Jardim Botânico, Condomínio Ouro Vermelho I",1.430.000,380,4,5,4
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.430.000,380,4,5,4
"Asa Norte, SQN 208 BLOCO E",1.449.000,110,3,3,1
"Jardim Botânico, Condomínio Ouro Vermelho I",1.450.000,300,4,4,4
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.450.000,300,4,4,4
"Jardim Botânico, Condominio Residencial Santa Monica",1.480.000,236,3,3,2
"Jardim Botânico, Condomínio Jardim Botânico VI",1.480.000,312,5,5,2
"Jardim Botânico, Condomínio Morada de Deus",1.490.000,322,4,5,3
"Jardim Botânico, Condomínio Ouro Vermelho I",1.490.000,385,4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.490.000,385,4,5,2
"Park Way, SMPW QUADRA 17",1.497.000,"298,5",4,5,2
"Jardim Botânico, Condomínio Ville Montagne",1.500.000,640,6,6,2
"Park Way, SMPW QUADRA 15 CONJUNTO 3",1.500.000,2.125,-,-,-
"Park Way, SMPW QUADRA 15 CONJUNTO 1",1.500.000,2.125,-,-,-
"Jardim Botânico, Condomínio Quintas do Sol",1.520.000,370,4,6,2
"Setor Habitacional Jardim Botânico, Condomínio Quintas do Sol",1.520.000,370,4,6,2
"Asa Norte, SHCGN 704 BLOCO G",1.550.000,127,3,4,1
"Jardim Botânico, Condomínio Ecológico Village III",1.550.000,490,4,5,4
"Jardim Botânico, Condomínio Condomínio Ecológico Parque do Mirante",1.550.000,254,4,3,4
"Jardim Botânico, Condomínio Ecológico Parque do Mirante",1.580.000,390,3,5,4
"Lago Norte, SMLN MI Trecho 03",1.580.000,3.600,4,6,2
"Jardim Botânico, Condomínio Santa Felicidade",1.580.000,296,4,5,2
"Sudoeste, SQSW 303 BLOCO G",1.590.000,"125,46",3,3,1
"Jardim Botânico, Condomínio Morada de Deus",1.590.000,350,4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",1.590.000,350,4,5,2
"Noroeste, SQNW 108 Bloco G",1.600.000,146,2,3,2
"Jardim Botânico, Condomínio Quinta Interlagos",1.600.000,"429,64",3,5,2
"Setor Habitacional Jardim Botânico, Condomínio Quinta Interlagos",1.600.000,"429,64",3,5,2
"Jardim Botânico, Condomínio Ouro Vermelho II",1.600.000,680,7,9,2
"Asa Norte, SRTVN Conjunto C",1.600.000,"197,37",-,3,3
"Jardim Botânico, Condomínio Condomínio Santa Felicidade",1.650.000,290,4,4,2
"Jardim Botânico, Condomínio Solar da Serra",1.650.000,400,5,5,2
"Setor Habitacional Jardim Botânico, Condomínio Solar da Serra",1.650.000,400,5,5,2
"Jardim Botânico, Condomínio Mini Chácaras do Lago Sul",1.650.000,472,3,4,2
"Setor Habitacional Jardim Botânico, Condomínio Mini Chácaras do Lago Sul",1.650.000,472,3,4,2
"Asa Sul, SQS 210",1.680.000,"130,1",4,2,1
"Jardim Botânico, Condomínio Ville Montagne",1.680.000,360,4,6,4
"Setor Habitacional Jardim Botânico, Condomínio Ville Montagne",1.680.000,360,4,6,4
"Sudoeste, CCSW 1 LOTE 2 BLOCO A",1.690.000,"138,48",3,2,1
"Asa Sul, SQS 208",1.700.000,"118,33",4,4,1
"Jardim Botânico, Condomínio Morada de Deus",1.700.000,"502,75",4,5,6
"Granja do Torto, Granja do Torto",1.700.000,600,5,4,4
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.700.000,388,5,6,6
Asa Norte,1.730.000,"134,7",3,3,1
"Asa Norte, SQN 109 BLOCO H",1.730.000,"109,57",3,2,2
"PARK SUL, SGCV Lote 27",1.840.000,"120,6",3,5,2
"Noroeste, SQNW 108 Bloco I",1.860.496,"153,76",3,4,2
"Octogonal, AOS 6",1.890.000,"124,57",4,3,1
"Jardim Botânico, Condominio Residencial Santa Monica - Alameda das Paineiras",1.890.000,"436,7",4,5,2
"Jardim Botânico, Condomínio Condomínio Ecológico Parque do Mirante",1.890.000,336,3,4,2
"Noroeste, SQNW 109 Bloco J",1.900.000,109,3,2,2
"Jardim Botânico, Condomínio Condomínio Ecológico Parque do Mirante",1.900.000,358,4,3,2
"Setor Habitacional Jardim Botânico, Condomínio Condomínio Ecológico Parque do Mirante",1.900.000,358,4,3,2
"Park Way, SMPW QUADRA 12",1.900.000,"243,86",4,5,2
"Park Way, SMPW QUADRA 28",1.900.000,800,5,6,3
"Jardim Botânico, Condomínio Ville Montagne",1.950.000,800,4,6,4
"Asa Sul, SQS 102",1.990.000,112,3,3,1
"Asa Sul, SHIGS 709 Bloco M",1.990.000,431,4,5,2
"Asa Sul, SQS 103",1.995.000,135,3,2,1
"Jardim Botânico, Condomínio Jardim Botânico VI",1.999.999,300,4,5,2
"Sudoeste, SQSW 306 BLOCO F",2.040.000,"145,97",4,3,2
"Asa Sul, SQS 211",2.050.000,126,3,2,1
"Jardim Botânico, Condomínio Jardins do Lago Quadra 9",2.090.000,450,3,6,2
"Lago Norte, SMLN MI Trecho 13",2.097.000,363,4,6,2
"Jardim Botânico, Condomínio Privê Morada Sul Etapa A",2.100.000,400,3,3,2
"Jardim Botânico, Condomínio Quintas da Alvorada",2.100.000,360,4,4,2
"Setor Habitacional Jardim Botânico, Condomínio Quintas da Alvorada",2.100.000,360,4,4,2
"Lago Sul, SMDB Conjunto 8",2.180.000,2.353,-,-,-
"Jardim Botânico, Condomínio Morada de Deus",2.199.000,220,4,3,3
"Jardim Botânico, Condomínio Solar da Serra",2.200.000,450,4,5,4
"Jardim Botânico, Jardim Botâncio III Quadra 8 Conjunto D",2.230.000,430,5,5,3
"Setor Habitacional Jardim Botânico, Jardim Botâncio III Quadra 8 Conjunto D",2.230.000,430,5,5,3
"Park Way, SMPW QUADRA 23 CONJUNTO 3",2.250.000,"242,23",3,6,-
"Jardim Botânico, Condomínio Parque Jardim das Paineiras",2.290.000,320,4,5,4
"Lago Sul, SHIS QI 29 Conjunto 7",2.290.000,450,4,5,4
"Guará II, Área Especial 4 Lotes E-F",2.290.000,"228,83",3,5,3
"Park Way, SMPW QUADRA 25 CONJUNTO 1",2.300.000,365,3,6,2
"Jardim Botânico, Condomínio Privê Morada Sul Etapa C",2.350.000,500,4,5,4
"Jardim Botânico, Condomínio Quintas do Sol",2.350.000,550,4,5,3
"Setor Habitacional Jardim Botânico, Condomínio Quintas do Sol",2.350.000,550,4,5,3
"Lago Norte, SHIN QI 8 Conjunto 12",2.350.000,"395,75",4,4,8
"Lago Norte, SHIN QL 14 Conjunto 1",2.350.000,"693,25",4,2,2
"Lago Norte, SHIN QI 9 Conjunto 9",2.350.000,"379,23",4,5,2
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",2.390.000,310,4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",2.390.000,310,4,5,2
"Asa Sul, SQS 306",2.400.000,"148,34",3,4,-
"Park Way, SMPW QUADRA 21",2.490.000,"424,05",5,7,6
"Asa Norte, SQN 213 BLOCO H",2.498.000,"210,72",2,5,2
"Jardim Botânico, Condomínio Morada de Deus",2.550.000,515,5,6,4
"Lago Norte, SHIN QL 8 Conjunto 7",2.550.000,"596,25",4,6,4
"Asa Sul, SQS 212",2.630.000,"167,75",3,3,1
"Noroeste, SQNW 109",2.702.293,"223,33",3,4,2
"Jardim Botânico, Condomínio Quintas do Sol",2.750.000,515,4,6,4
"Asa Norte, SQN 309 BLOCO D",2.780.000,"298,77",5,4,4
"Park Way, SMPW QUADRA 19",2.790.000,"376,92",5,7,4
"Park Way, SMPW QUADRA 15",2.790.000,"385,78",4,7,2
"Park Way, SMPW QUADRA 17 CONJUNTO 10",2.800.000,2.500,5,5,3
"Jardim Botânico, Condomínio Village Alvorada I",2.890.000,"573,63",6,9,5
"Setor Habitacional Jardim Botânico, Condomínio Village Alvorada I",2.890.000,"573,63",6,9,5
"Park Way, SMPW QUADRA 16",2.890.000,480,4,7,3
"Setor Habitacional Jardim Botânico, Condomínio Jardins do Lago Quadra 9",2.890.000,"426,39",5,6,2
"Jardim Botânico, Condomínio Jardins do Lago Quadra 9",2.890.000,"426,39",5,6,2
"Asa Norte, SCEN Trecho 1 Conjunto 36",2.900.000,"134,05",4,3,3
"Park Way, SMPW Quadra 6 Conjunto 1",2.980.000,770,5,5,2
"Sudoeste, CCSW 1",2.995.000,"244,89",4,5,3
"Lago Sul, SMDB Conjunto 8",3.000.000,840,5,7,5
Jardim Botânico,3.099.000,460,4,6,4
"Jardim Botânico, Condomínio Ville Montagne",3.200.000,560,4,6,4
"Setor Habitacional Jardim Botânico, Condomínio Ville Montagne",3.200.000,560,4,6,4
"Lago Norte, SHIN QI 13 Conjunto 8",3.200.000,"729,9",4,8,3
"Park Way, SMPW QUADRA 1",3.200.000,375,5,5,6
"Sudoeste, SQSW 500	",3.330.000,"172,48",4,6,3
"Jardim Botânico, Condomínio Solar de Brasília",3.500.000,470,4,6,5
"Setores Complementares, SPO Área Especial",3.500.000,1.500,1,1,-
"Lago Norte, SMLN ML Trecho 3 Conjunto 2",3.600.000,"386,44",4,5,3
"Lago Norte, SHIN QI 2 Conjunto 10",3.700.000,"755,1",6,6,2
"Noroeste, SQNW 110",3.800.000,"262,64",4,5,3
"Lago Norte, SHIN QI 13 Conjunto 1",3.800.000,"567,74",6,7,3
"Lago Norte, SMLN MI Trecho 08 Conjunto 1",3.800.000,450,4,6,6
"Lago Sul, SHIS QI 25",3.990.000,680,5,6,-
"Park Way, SMPW QUADRA 16",3.999.000,1.050,5,8,6
"Lago Sul, SHIS QI 19 Conjunto 9",4.200.000,"430,94",5,-,4
"Lago Sul, SMDB Conjunto 16",4.500.000,780,4,5,4
"Noroeste, SQNW 110 Bloco J",4.700.000,378,4,5,4
"Park Way, SMPW QUADRA 15",4.800.000,902,8,13,4
"Noroeste, SQNW 111 Bloco I",4.800.000,385,3,6,6
"Lago Sul, SMDB Conjunto 12-B",4.900.000,650,4,7,3
"Lago Sul, SHIS QI 29 Conjunto 12",4.989.000,800,4,4,4
"Lago Sul, SMDB Conjunto 7",4.990.000,696,4,10,4
"Lago Sul, SHIS QI 19",5.500.000,"699,93",10,7,6
"Lago Norte, SMLN ML Trecho 4 Conjunto 3",6.500.000,850,4,5,4
"Lago Norte, SHIN QL 16 Conjunto 4",6.900.000,720,4,5,4
"Lago Sul, SMDB Conjunto 16",7.000.000,"626,8",5,5,-
"Lago Norte, SMLN ML Trecho 13 Conjunto 1",7.900.000,1.000,2,4,4
"Lago Sul, SMDB Conjunto 17",8.500.000,820,5,9,4
"Lago Sul, SHIS QL 16 Conjunto 6",9.800.000,"836,76",5,10,3
"Lago Sul, SHIS QL 24",20.000.000,"1.087,5",5,8,6
"Lago Sul, SHIS QL 12 Conjunto 4",25.000.000,2.000,7,10,10
"Jardim Botânico, Condomínio Ouro Vermelho I",430.000,1.290,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",430.000,1.290,-,-,-
"Asa Norte, CLN 203 BLOCO D",520.000,"52,36",-,2,-
"Asa Sul, SQS 416",795.000,"77,73",3,1,-
"Jardim Botânico, Condomínio Privê Morada Sul Etapa A",850.000,120,2,2,1
"Jardim Botânico, Condomínio Privê Morada Sul Etapa A",950.000,160,2,3,2
"Lago Norte, SHIN QI 6 Conjunto 5",1.690.000,410,4,6,2
"Jardim Botânico, Condomínio Morada de Deus",330.000,"572,44",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",330.000,"572,44",-,-,-
"Jardim Botânico, Condomínio Morada de Deus",360.000,589,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",360.000,589,-,-,-
"Jardim Botânico, Condomínio Ouro Vermelho II",1.480.000,312,3,2,1
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho II",1.480.000,312,3,2,1
"Jardim Botânico, Condomínio Ouro Vermelho I",900.000,286,4,3,6
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",900.000,286,4,3,6
"Sudoeste, SQSW 304 BLOCO K",1.390.000,91,3,3,1
"Paranoá, Condomínio Residencial Jardins Genebra DF-250, KM 4,5",1.790.000,230,3,3,2
"Lago Sul, SHDB QL 32 Conjunto 10",1.850.000,428,3,4,4
"Jardim Botânico, Condomínio Residencial Mansões Itaipu",2.390.000,375,4,8,2
"Setor Habitacional Jardim Botânico, Condomínio Residencial Mansões Itaipu",2.390.000,375,4,8,2
"Jardim Botânico, Condomínio Quintas do Sol",2.599.000,"395,77",4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Chácaras Itaipú",4.500.000,46.000,3,3,4
"Jardim Botânico, Condomínio Chácaras Itaipú",4.500.000,46.000,3,3,4
"Planaltina, Rodovia BR-020 - do km 18,001 ao km 49,000",15.000.000,"19.199,74",-,-,-
"Jardim Botânico, Condomínio Quinta dos Ipês",450.000,180,3,2,2
"Setor Habitacional Jardim Botânico, Condomínio Quinta dos Ipês",450.000,180,3,2,2
"Sudoeste, CLSW 100",310.000,"29,71",1,1,-
"Jardim Botânico, Condomínio Ouro Vermelho II",310.000,"934,57",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho II",310.000,"934,57",-,-,-
"Jardim Botânico, Condomínio Ouro Vermelho II",335.000,"802,09",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho II",335.000,"802,09",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",430.000,"564,65",-,-,-
"Jardim Botânico, Condomínio Morada de Deus",430.000,"564,65",-,-,-
"Jardim Botânico, Condomínio Privê Morada Sul Etapa A",650.000,1.019,-,-,-
"Noroeste, CLNW 10-11 Lote K",1.050.000,"66,69",-,-,2
"Asa Norte, SHCGN 707 BLOCO E",1.750.000,450,6,7,3
